well,row,col,area_px,diameter_px,major_d_px,minor_d_px,aspect,angle_deg,center_x_roi,center_y_roi,dense_x_roi,dense_y_roi,center_x_img,center_y_img,dense_x_img,dense_y_img
D1,3,0,354.0,22.567522048950195,25.203022003173828,19.932022094726562,1.26444882929574,3.6489689350128174,14,153,10,154,14,153,10,154
D2,3,1,332.0,27.447534561157227,28.67255210876465,26.222517013549805,1.093432491394661,56.382110595703125,63,152,66,150,63,152,66,150
D3,3,2,347.5,27.248516082763672,29.6236572265625,24.873374938964844,1.1909785985719294,61.11717224121094,118,150,123,154,118,150,123,154
D4,3,3,316.0,27.537822723388672,27.575227737426758,27.500417709350586,1.002720323337152,78.70989227294922,173,152,179,159,173,152,179,159
D5,3,4,380.5,27.05750274658203,29.598583221435547,24.516422271728516,1.2072961908299158,46.90716552734375,227,150,230,159,227,150,230,159
D6,3,5,420.0,26.520041465759277,31.593576431274414,21.44650650024414,1.4731339312029565,39.237571716308594,283,151,284,153,283,151,284,153
D7,3,6,293.0,28.86628818511963,29.9725341796875,27.760042190551758,1.0797005989381663,66.72564697265625,337,153,342,153,337,153,342,153
D8,3,7,455.0,25.717390060424805,28.79719352722168,22.63758659362793,1.2720964493329676,50.123497009277344,390,149,387,147,390,149,387,147
D9,3,8,514.0,26.547569274902344,29.950387954711914,23.144750595092773,1.294046692430641,10.414912223815918,443,152,439,154,443,152,439,154
D10,3,9,396.5,26.191408157348633,28.22481918334961,24.157997131347656,1.1683426829587957,25.85683822631836,498,152,500,147,498,152,500,147
D11,3,10,345.0,25.339786529541016,28.80137062072754,21.878202438354492,1.3164413622133828,55.71348190307617,552,149,556,153,552,149,556,153
D12,3,11,372.0,29.826478958129883,31.888147354125977,27.76481056213379,1.1485094516587726,51.38328170776367,617,154,611,150,617,154,611,150
E1,4,0,333.5,27.506084442138672,30.92211151123047,24.090057373046875,1.2836047267296102,75.2149887084961,17,194,23,193,17,194,23,193
E2,4,1,288.5,28.453659057617188,32.199012756347656,24.70830535888672,1.3031655667460331,95.73387908935547,67,196,80,197,67,196,80,197
E3,4,2,281.5,29.48139476776123,32.88727951049805,26.075510025024414,1.2612324544730456,100.2123031616211,123,196,113,195,123,196,113,195
E4,4,3,721.5,30.692733764648438,34.725975036621094,26.65949249267578,1.302574497476328,99.04623413085938,177,194,168,195,177,194,168,195
E5,4,4,335.5,28.21953773498535,30.871591567993164,25.56748390197754,1.2074552070258808,74.16693115234375,229,194,235,189,229,194,235,189
E6,4,5,172.0,28.629413604736328,33.26790237426758,23.990924835205078,1.386686949452201,81.11634826660156,284,195,276,191,284,195,276,191
E7,4,6,735.5,31.08571434020996,34.32699966430664,27.84442901611328,1.2328139192382779,83.39154052734375,340,195,344,199,340,195,344,199
E8,4,7,169.5,27.3621883392334,29.599323272705078,25.12505340576172,1.178080014186848,118.24613189697266,395,196,404,202,395,196,404,202
E9,4,8,174.5,24.587522506713867,29.696557998657227,19.478487014770508,1.5245823752193057,82.59344482421875,446,192,449,185,446,192,449,185
E10,4,9,489.5,28.63390827178955,32.94769287109375,24.32012367248535,1.3547502189871357,90.17982482910156,501,194,499,192,501,194,499,192
E11,4,10,157.5,19.50637674331665,28.262527465820312,10.750226020812988,2.6290170468139564,79.52271270751953,552,188,542,187,552,188,542,187
